time,Distância minima dos pontos detetados na zona de deteção frontal,Distância minima dos pontos detetados na zona de deteção traseira
0.202,0,0
0.302,0,0
0.369,0,0
0.468,0,0
0.535,0,0
0.6,0,0
0.702,0,0
0.801,0,0
0.902,0,0
1,0,0
1.101,0,0
1.176,0,0
1.268,0,0
1.368,0,0
1.468,0,0
1.571,0,0
1.668,0,0
1.768,0,0
1.838,0,0
1.903,0,0
2.003,0,0
2.102,0,0
2.201,0,0
2.267,19.9436,0
2.367,19.4286,0
2.467,19.0353,0
2.568,18.6568,0
2.637,18.153,0
2.702,17.7822,0
2.8,17.3894,0
2.867,16.8786,0
2.968,16.4817,0
03.07,16.0947,0
3.167,15.5967,0
3.234,15.2044,0
3.3,14.6871,0
3.368,14.309,0
3.469,13.9449,0
3.535,13.558,0
3.601,13.1745,0
3.7,12.7962,0
3.767,12.4199,0
3.868,12.0341,0
3.901,11.6349,0
4.002,11.2629,0
4.069,10.7793,0
4.167,10.5513,0
4.234,10.071,0
4.3,9.73655,0
4.371,9.3985,0
4.47,9.15347,0
4.5,8.69936,0
4.569,8.55968,0
4.701,8.24546,0
4.768,7.83799,0
4.807,7.46725,0
4.934,7.14107,0
5.008,6.83017,0
5.101,6.56493,0
5.167,6.21617,0
5.267,5.96287,0
5.302,5.80044,0
5.401,5.52113,0
5.503,5.26287,0
5.567,5.20365,0
5.668,4.90703,0
5.7,4.77949,0
5.803,4.53828,0
5.867,4.31408,0
6.007,4.21701,0
6.067,3.96746,0
6.167,3.90418,0
6.269,3.80107,0
6.302,3.80887,3.78168
6.4,3.84781,3.80396
6.468,3.88466,3.86171
6.6,3.91327,3.89765
6.667,3.98327,3.95363
6.837,4.5013,4.11038
6.901,4.84224,4.17712
7.001,8.14825,4.35028
7.079,7.67556,4.50875
7.168,7.40448,4.67019
7.27,7.12507,4.89282
7.368,6.8782,5.11331
7.402,6.574,5.36295
7.501,6.26421,5.58768
7.602,5.93203,5.88164
7.705,5.64027,6.19937
7.801,5.3731,6.52305
7.867,5.14298,0
7.967,4.94662,0
8.036,4.85056,0
8.104,4.69379,0
8.2,4.59067,0
8.3,4.53276,0
8.401,4.48824,0
8.5,4.49711,4.51099
8.603,4.52561,4.5117
8.667,4.5334,4.52913
8.767,4.5374,4.52719
8.867,4.74473,4.5609
8.935,4.92626,4.76908
9,8.261,4.66424
9.101,7.78634,4.79484
9.202,7.46079,4.96791
9.302,7.22878,5.0728
9.402,6.84935,5.22291
9.467,6.63388,5.43981
9.567,6.28087,5.6796
9.6,5.99212,5.92193
9.701,5.83365,6.1411
9.803,5.58673,6.36234
9.9,5.22208,0
9.967,5.03268,0
10.067,4.93589,0
10.168,4.78607,0
10.267,4.67687,0
10.367,4.59999,0
10.468,4.59767,4.58768
10.567,4.59724,4.58384
10.636,4.59321,4.58246
10.707,4.58188,4.58814
10.803,4.58541,4.60015
10.901,4.82643,4.59669
11,5.26661,4.65887
11.1,0,4.75334
11.202,0,4.92622
11.303,0,5.10717
11.407,0,5.25521
11.502,0,5.59234
11.602,0,5.83687
11.702,0,6.05375
11.802,0,6.43631
11.868,0,0
12,0,0
12.104,0,0
12.201,0,0
12.3,0,0
12.4,0,0
12.501,0,0
12.6,0,0
12.703,0,0
12.8,0,0
12.9,0,0
13,0,0
13.116,0,0
13.203,0,0
13.301,0,0
13.413,0,0
13.504,0,0
13.6,0,0
13.703,0,0
13.768,0,0
13.821,0,0
13.9,0,0
14.003,0,0
14.1,0,0
14.2,0,0
14.272,0,0
14.301,0,0
14.4,0,0
14.5,0,0
14.6,0,0
14.7,0,0
14.767,0,0
14.868,0,0
14.935,0,0
15.001,0,0
15.1,0,0
15.2,0,0
15.3,0,0
15.368,0,0
15.437,0,0
15.536,0,0
15.6,0,0
15.7,0,0
15.8,0,0
15.9,0,0
16,0,0
16.1,0,0
16.2,0,0
16.334,0,0
16.4,0,0
16.5,0,0
16.609,0,0
16.734,0,0
16.8,0,0
16.904,0,0
17.009,0,0
